ECG1,ECG2
-0.025,-0.075
0.195,-0.085
0.695,-0.085
0.605,-0.205
-0.035,-0.465
-0.225,-0.355
-0.215,0.015
-0.185,-0.005
-0.165,-0.025
-0.125,-0.045
-0.105,-0.045
-0.095,-0.055
-0.095,-0.065
-0.095,-0.075
-0.095,-0.085
-0.095,-0.085
-0.085,-0.085
-0.095,-0.085
-0.095,-0.085
-0.085,-0.095
-0.095,-0.095
-0.085,-0.085
-0.105,-0.085
-0.095,-0.095
-0.075,-0.075
-0.095,-0.085
-0.085,-0.085
-0.085,-0.085
-0.075,-0.085
-0.075,-0.075
-0.065,-0.075
-0.055,-0.075
-0.035,-0.075
-0.025,-0.075
-0.015,-0.075
0.015,-0.075
0.025,-0.075
0.025,-0.075
0.015,-0.085
0.005,-0.095
-0.005,-0.095
-0.025,-0.095
-0.045,-0.105
-0.055,-0.105
-0.065,-0.095
-0.075,-0.085
-0.075,-0.085
-0.075,-0.085
-0.065,-0.095
-0.075,-0.085
-0.085,-0.085
-0.075,-0.095
-0.085,-0.085
-0.085,-0.085
-0.085,-0.085
-0.085,-0.085
-0.075,-0.085
-0.085,-0.075
-0.085,-0.075
-0.075,-0.075
-0.085,-0.075
-0.085,-0.075
-0.085,-0.085
-0.075,-0.085
-0.065,-0.095
-0.045,-0.095
-0.045,-0.085
-0.055,-0.085
-0.055,-0.085
-0.065,-0.085
-0.075,-0.075
-0.075,-0.065
-0.075,-0.085
-0.085,-0.085
-0.085,-0.075
-0.085,-0.065
-0.075,-0.075
-0.075,-0.065
-0.075,-0.075
-0.045,-0.065
0.185,-0.075
0.665,-0.075
0.625,-0.195
-0.015,-0.415
-0.225,-0.305
-0.215,0.005
-0.185,-0.005
-0.175,-0.025
-0.135,-0.045
-0.105,-0.035
-0.105,-0.025
-0.095,-0.055
-0.095,-0.065
-0.095,-0.075
-0.105,-0.075
-0.095,-0.075
-0.085,-0.085
-0.095,-0.075
-0.095,-0.075
-0.085,-0.075
-0.085,-0.085
-0.085,-0.065
-0.085,-0.085
-0.075,-0.075
-0.075,-0.075
-0.075,-0.065
-0.075,-0.075
-0.065,-0.075
-0.065,-0.065
-0.055,-0.065
-0.055,-0.065
-0.035,-0.065
-0.015,-0.055
-0.015,-0.065
0.005,-0.065
0.015,-0.065
0.015,-0.075
0.005,-0.085
-0.015,-0.085
-0.025,-0.085
-0.035,-0.085
-0.055,-0.095
-0.065,-0.085
-0.075,-0.085
-0.075,-0.085
-0.075,-0.085
-0.075,-0.075
-0.085,-0.085
-0.075,-0.075
-0.075,-0.075
-0.085,-0.075
-0.085,-0.075
-0.075,-0.085
-0.075,-0.085
-0.085,-0.075
-0.085,-0.085
-0.075,-0.085
-0.085,-0.075
-0.085,-0.075
-0.085,-0.085
-0.075,-0.085
-0.075,-0.085
-0.065,-0.095
-0.045,-0.095
-0.045,-0.085
-0.055,-0.085
-0.065,-0.085
-0.065,-0.095
-0.075,-0.085
-0.075,-0.075
-0.085,-0.075
-0.085,-0.085
-0.075,-0.065
-0.075,-0.065
-0.085,-0.075
-0.075,-0.085
-0.065,-0.075
-0.065,-0.085
0.125,-0.085
0.585,-0.075
0.685,-0.155
0.105,-0.385
-0.225,-0.385
-0.215,-0.075
-0.195,-0.035
-0.175,-0.025
-0.145,-0.045
-0.105,-0.045
-0.075,-0.045
-0.095,-0.065
-0.095,-0.075
-0.095,-0.085
-0.095,-0.075
-0.095,-0.085
-0.095,-0.085
-0.085,-0.085
-0.075,-0.095
-0.085,-0.085
-0.085,-0.085
-0.085,-0.095
-0.085,-0.085
-0.085,-0.085
-0.085,-0.085
-0.085,-0.085
-0.075,-0.085
-0.075,-0.075
-0.075,-0.075
-0.075,-0.085
-0.055,-0.075
-0.055,-0.055
-0.045,-0.065
-0.025,-0.075
-0.015,-0.075
0.005,-0.075
-0.005,-0.085
0.005,-0.085
-0.005,-0.095
-0.015,-0.105
-0.035,-0.115
-0.045,-0.115
-0.055,-0.115
-0.075,-0.115
-0.075,-0.105
-0.075,-0.105
-0.075,-0.115
-0.075,-0.105
-0.075,-0.105
-0.075,-0.105
-0.065,-0.105
-0.075,-0.105
-0.075,-0.105
-0.075,-0.105
-0.075,-0.105
-0.075,-0.105
-0.075,-0.105
-0.085,-0.105
-0.075,-0.105
-0.065,-0.105
-0.075,-0.105
-0.065,-0.115
-0.065,-0.115
-0.055,-0.125
-0.045,-0.105
-0.055,-0.115
-0.045,-0.115
-0.065,-0.115
-0.065,-0.105
-0.075,-0.105
-0.085,-0.115
-0.075,-0.105
-0.075,-0.095
-0.085,-0.095
-0.075,-0.105
-0.065,-0.095
-0.065,-0.105
-0.065,-0.105
0.085,-0.115
0.575,-0.095
0.705,-0.165
0.065,-0.425
-0.215,-0.415
-0.205,-0.065
-0.175,-0.045
-0.155,-0.065
-0.125,-0.075
-0.095,-0.065
-0.095,-0.065
-0.095,-0.095
-0.085,-0.105
-0.095,-0.105
-0.095,-0.105
-0.095,-0.095
-0.085,-0.105
-0.095,-0.105
-0.095,-0.105
-0.085,-0.105
-0.085,-0.095
-0.095,-0.105
-0.095,-0.105
-0.085,-0.105
-0.085,-0.095
-0.085,-0.095
-0.085,-0.095
-0.085,-0.095
-0.075,-0.095
-0.085,-0.095
-0.075,-0.085
-0.055,-0.085
-0.055,-0.085
-0.035,-0.085
-0.025,-0.085
-0.005,-0.095
0.005,-0.095
0.005,-0.105
-0.015,-0.115
-0.025,-0.125
-0.035,-0.125
-0.055,-0.125
-0.065,-0.115
-0.075,-0.125
-0.075,-0.105
-0.085,-0.105
-0.095,-0.115
-0.085,-0.115
-0.085,-0.115
-0.085,-0.105
-0.095,-0.095
-0.085,-0.105
-0.085,-0.095
-0.095,-0.105
-0.095,-0.105
-0.095,-0.105
-0.085,-0.095
-0.085,-0.105
-0.085,-0.105
-0.085,-0.105
-0.075,-0.115
-0.065,-0.125
-0.055,-0.115
-0.065,-0.105
-0.065,-0.105
-0.075,-0.105
-0.075,-0.115
-0.075,-0.105
-0.075,-0.105
-0.095,-0.115
-0.095,-0.105
-0.095,-0.095
-0.085,-0.085
-0.085,-0.095
-0.085,-0.095
-0.075,-0.105
-0.055,-0.095
0.185,-0.095
0.755,-0.075
0.695,-0.205
0.055,-0.495
-0.255,-0.395
-0.235,-0.025
-0.195,-0.015
-0.165,-0.045
-0.125,-0.045
-0.105,-0.045
-0.105,-0.065
-0.105,-0.075
-0.105,-0.085
-0.105,-0.085
-0.105,-0.095
-0.095,-0.095
-0.095,-0.095
-0.095,-0.095
-0.095,-0.095
-0.085,-0.095
-0.095,-0.095
-0.095,-0.095
-0.095,-0.095
-0.085,-0.095
-0.095,-0.095
-0.085,-0.085
-0.085,-0.085
-0.085,-0.085
-0.085,-0.075
-0.075,-0.075
-0.075,-0.085
-0.045,-0.075
-0.045,-0.075
-0.035,-0.075
-0.015,-0.085
0.005,-0.075
0.005,-0.075
-0.005,-0.085
-0.015,-0.105
-0.015,-0.105
-0.045,-0.105
-0.055,-0.105
-0.065,-0.105
-0.065,-0.105
-0.075,-0.105
-0.085,-0.095
-0.075,-0.095
-0.075,-0.085
-0.075,-0.085
-0.075,-0.085
-0.085,-0.095
-0.085,-0.085
-0.075,-0.095
-0.085,-0.095
-0.085,-0.095
-0.075,-0.085
-0.075,-0.075
-0.075,-0.085
-0.075,-0.085
-0.075,-0.085
-0.055,-0.095
-0.065,-0.095
-0.045,-0.095
-0.045,-0.095
-0.055,-0.085
-0.055,-0.085
-0.065,-0.095
-0.075,-0.085
-0.075,-0.075
-0.085,-0.085
-0.085,-0.085
-0.065,-0.075
-0.065,-0.065
-0.075,-0.075
-0.065,-0.085
-0.075,-0.075
0.005,-0.075
0.435,-0.075
0.845,-0.075
0.405,-0.275
-0.195,-0.485
-0.225,-0.205
-0.205,0.035
-0.165,-0.015
-0.135,-0.025
-0.095,-0.025
-0.085,-0.025
-0.075,-0.035
-0.095,-0.055
-0.085,-0.075
-0.085,-0.065
-0.085,-0.065
-0.085,-0.065
-0.075,-0.065
-0.075,-0.065
-0.075,-0.065
-0.075,-0.075
-0.075,-0.075
-0.075,-0.075
-0.065,-0.065
-0.075,-0.065
-0.075,-0.065
-0.065,-0.065
-0.065,-0.065
-0.055,-0.065
-0.065,-0.065
-0.045,-0.075
-0.045,-0.055
-0.025,-0.055
-0.015,-0.045
0.005,-0.055
0.025,-0.065
0.025,-0.065
0.035,-0.065
0.025,-0.075
0.015,-0.075
-0.015,-0.085
-0.025,-0.085
-0.025,-0.085
-0.035,-0.075
-0.045,-0.075
-0.045,-0.075
